Category,Question,Answer
Academics,Quick question: where is the Civil Engineering department located? ASAP.,The Civil Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Facilities,"Tell me, location of IT Department? Can you help?",You will find the IT Department clearly signposted at the NED Main Campus.
Admissions,I would like to know what is the merit for BS in Architecture? Can you help?,Admission to Architecture (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hello, are there scholarships for Electronic Engineering? Can you help?",Scholarships for Electronic Engineering students are announced periodically. Keep checking the Student Affairs notice board.
Academics,I'm looking for info on where is the Computer Systems Engineering department located? Please.,The Computer Systems Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,How much percentage is required for Mechanical Engineering BS? Can you help?,The merit criteria for BS in Mechanical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,"Hello, what is the fee structure for Computer Systems Engineering? - thanks in advance!","For BE in Computer Systems Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Hey CampusBrain, fee for BE in Telecommunications Engineering? - thanks in advance!","For BE in Telecommunications Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Quick question: how much percentage is required for Chemical Engineering BS? Appreciate it.,Admission to Chemical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Could you please explain location of Electronic Engineering? ASAP.,The Electronic Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,I would like to know financial aid for MS students? Appreciate it.,NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Academics,Please guide me about chairperson contact for Materials Engineering?,"To contact the HOD of Materials Engineering, please visit the specific department's page on neduet.edu.pk."
Admissions,Please guide me about what is the merit for PhD in Mechanical Engineering? Can you help?,Admission to Mechanical Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,Quick question: closing time for Transport Office? (I need this urgently),"You can visit the Transport Office during standard university working hours, Monday to Friday."
Academics,I'm looking for info on who is the chairperson of Electronic Engineering? Can you help?,The details of the Chairperson for Electronic Engineering are listed on the departmental sub-domain of the NED website.
Admissions,Can you tell me what is the merit for MS in Civil Engineering?,Admission to Civil Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Please guide me about how much percentage is required for Textile Engineering MS? ASAP.,Admission to Textile Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Tell me, fee for BS in Polymer & Petrochemical Engineering? ASAP.",The fee structure for Polymer & Petrochemical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,Do you know who is the chairperson of Metallurgical Engineering? Can you help?,The details of the Chairperson for Metallurgical Engineering are listed on the departmental sub-domain of the NED website.
Admissions,Could you please explain what is the merit for BS in Materials Engineering? Please.,The merit criteria for BS in Materials Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
